"filename", "language", "YAML", "Properties", "Python", "Docker", "XML", "comment", "blank", "total"
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\.env", "Properties", 0, 5, 0, 0, 0, 2, 2, 9
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\auth_service\.idea\auth_service.iml", "XML", 0, 0, 0, 0, 21, 0, 0, 21
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\auth_service\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\auth_service\.idea\misc.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\auth_service\.idea\modules.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 8
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\auth_service\.idea\vcs.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\auth_service\Dockerfile", "Docker", 0, 0, 0, 10, 0, 8, 7, 25
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\auth_service\app\__init__.py", "Python", 0, 0, 13, 0, 0, 0, 3, 16
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\auth_service\app\config.py", "Python", 0, 0, 9, 0, 0, 1, 5, 15
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\auth_service\app\controllers\activity_routes.py", "Python", 0, 0, 23, 0, 0, 2, 7, 32
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\auth_service\app\controllers\auth_routes.py", "Python", 0, 0, 79, 0, 0, 11, 23, 113
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\auth_service\app\controllers\user_routes.py", "Python", 0, 0, 79, 0, 0, 7, 28, 114
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\auth_service\app\db.py", "Python", 0, 0, 16, 0, 0, 0, 1, 17
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\auth_service\app\services\log_manager.py", "Python", 0, 0, 9, 0, 0, 1, 2, 12
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\auth_service\app\services\middleware.py", "Python", 0, 0, 12, 0, 0, 0, 3, 15
"d:\DOCUMENTOS\qualityapp_msv\03_Backend\auth_service\app\services\security.py", "Python", 0, 0, 12, 0, 0, 0, 5, 17
