"filename", "language", "Batch", "Markdown", "MS SQL", "YAML", "Properties", "Python", "Docker", "XML", "comment", "blank", "total"
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\DATABASE_SCHEMA\00_SCHEMA\00_INSTALADOR.sql", "MS SQL", 0, 0, 3, 0, 0, 0, 0, 0, 7, 7, 17
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\DATABASE_SCHEMA\00_SCHEMA\00_UNISTALL.sql", "MS SQL", 0, 0, 2, 0, 0, 0, 0, 0, 6, 4, 12
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\DATABASE_SCHEMA\00_SCHEMA\01_USER.sql", "MS SQL", 0, 0, 8, 0, 0, 0, 0, 0, 6, 4, 18
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\DATABASE_SCHEMA\00_SCHEMA\02_SCHEMAS.sql", "MS SQL", 0, 0, 15, 0, 0, 0, 0, 0, 13, 16, 44
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\DATABASE_SCHEMA\INSTALADOR_GENERAL.sql", "MS SQL", 0, 0, 2, 0, 0, 0, 0, 0, 5, 7, 14
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\DATABASE_SCHEMA\INSTALL_SCHEMAS.sql", "MS SQL", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\DATABASE_SCHEMA\README.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\DATABASE_SCHEMA\SETUP.sql", "MS SQL", 0, 0, 9, 0, 0, 0, 0, 0, 2, 2, 13
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\INSTALL_ALL.bat", "Batch", 48, 0, 0, 0, 0, 0, 0, 0, 13, 5, 66
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\01_SECUENCIAS\INSTALL_SECUENCIAS.sql", "MS SQL", 0, 0, 1, 0, 0, 0, 0, 0, 4, 2, 7
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\01_SECUENCIAS\OBJECTS\INSTALL.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\02_TABLAS\INSTALL_TABLAS.sql", "MS SQL", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\02_TABLAS\OBJECTS\INSTALL.sql", "MS SQL", 0, 0, 10, 0, 0, 0, 0, 0, 0, 5, 15
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\02_TABLAS\OBJECTS\au_user_act_log.sql", "MS SQL", 0, 0, 26, 0, 0, 0, 0, 0, 11, 16, 53
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\02_TABLAS\OBJECTS\au_users.sql", "MS SQL", 0, 0, 27, 0, 0, 0, 0, 0, 11, 16, 54
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\02_TABLAS\OBJECTS\ge_clasification.sql", "MS SQL", 0, 0, 22, 0, 0, 0, 0, 0, 11, 15, 48
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\02_TABLAS\OBJECTS\ge_parameters.sql", "MS SQL", 0, 0, 27, 0, 0, 0, 0, 0, 11, 15, 53
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\02_TABLAS\OBJECTS\ge_participants.sql", "MS SQL", 0, 0, 28, 0, 0, 0, 0, 0, 11, 15, 54
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\02_TABLAS\OBJECTS\ge_software.sql", "MS SQL", 0, 0, 34, 0, 0, 0, 0, 0, 11, 16, 61
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\02_TABLAS\OBJECTS\ge_standards.sql", "MS SQL", 0, 0, 21, 0, 0, 0, 0, 0, 11, 13, 45
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\02_TABLAS\OBJECTS\ge_subcategory.sql", "MS SQL", 0, 0, 22, 0, 0, 0, 0, 0, 11, 13, 46
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\02_TABLAS\OBJECTS\rp_assessment.sql", "MS SQL", 0, 0, 30, 0, 0, 0, 0, 0, 11, 17, 58
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\02_TABLAS\OBJECTS\rp_results.sql", "MS SQL", 0, 0, 29, 0, 0, 0, 0, 0, 11, 16, 56
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\03_ALTERS\INSTALL_ALTERS.sql", "MS SQL", 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 2
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\03_ALTERS\OBJECTS\INSTALL.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\03_CONSTRAINTS\INSTALL_CONS.sql", "MS SQL", 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 3
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\03_CONSTRAINTS\OBJECTS\INSTALL.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\03_FOREIGN_KEY\INSTALL_FOREIGN.sql", "MS SQL", 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 3
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\03_FOREIGN_KEY\OBJECTS\INSTALL.sql", "MS SQL", 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\03_FOREIGN_KEY\OBJECTS\au_user_act_log_fk.sql", "MS SQL", 0, 0, 2, 0, 0, 0, 0, 0, 10, 8, 20
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\03_FOREIGN_KEY\OBJECTS\ge_parameters_fk.sql", "MS SQL", 0, 0, 4, 0, 0, 0, 0, 0, 10, 9, 23
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\03_FOREIGN_KEY\OBJECTS\ge_participants_fk.sql", "MS SQL", 0, 0, 4, 0, 0, 0, 0, 0, 10, 6, 20
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\03_FOREIGN_KEY\OBJECTS\ge_subcategory_fk.sql", "MS SQL", 0, 0, 2, 0, 0, 0, 0, 0, 10, 7, 19
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\03_FOREIGN_KEY\OBJECTS\rp_assessment_fk.sql", "MS SQL", 0, 0, 8, 0, 0, 0, 0, 0, 10, 8, 26
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\03_FOREIGN_KEY\OBJECTS\rp_results_fk.sql", "MS SQL", 0, 0, 6, 0, 0, 0, 0, 0, 10, 9, 25
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\03_PRIMARY_KEY\INSTALL_PKS.sql", "MS SQL", 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 3
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\03_PRIMARY_KEY\OBJECTS\INSTALL.sql", "MS SQL", 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\03_PRIMARY_KEY\OBJECTS\pk_au_user_act_log.sql", "MS SQL", 0, 0, 2, 0, 0, 0, 0, 0, 13, 2, 17
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\03_PRIMARY_KEY\OBJECTS\pk_au_users.sql", "MS SQL", 0, 0, 2, 0, 0, 0, 0, 0, 13, 2, 17
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\03_PRIMARY_KEY\OBJECTS\pk_ge_clasification.sql", "MS SQL", 0, 0, 2, 0, 0, 0, 0, 0, 13, 2, 17
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\03_PRIMARY_KEY\OBJECTS\pk_ge_parameters.sql", "MS SQL", 0, 0, 2, 0, 0, 0, 0, 0, 13, 2, 17
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\03_PRIMARY_KEY\OBJECTS\pk_ge_participants.sql", "MS SQL", 0, 0, 2, 0, 0, 0, 0, 0, 13, 2, 17
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\03_PRIMARY_KEY\OBJECTS\pk_ge_software.sql", "MS SQL", 0, 0, 2, 0, 0, 0, 0, 0, 13, 2, 17
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\03_PRIMARY_KEY\OBJECTS\pk_ge_standards.sql", "MS SQL", 0, 0, 2, 0, 0, 0, 0, 0, 13, 2, 17
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\03_PRIMARY_KEY\OBJECTS\pk_ge_subcategory.sql", "MS SQL", 0, 0, 2, 0, 0, 0, 0, 0, 13, 2, 17
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\03_PRIMARY_KEY\OBJECTS\pk_rp_assessment.sql", "MS SQL", 0, 0, 2, 0, 0, 0, 0, 0, 13, 2, 17
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\03_PRIMARY_KEY\OBJECTS\pk_rp_results.sql", "MS SQL", 0, 0, 2, 0, 0, 0, 0, 0, 13, 2, 17
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\04_TIPOS\INSTALL_TIPOS.sql", "MS SQL", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\04_TIPOS\OBJECTS\INSTALL.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\05_VISTAS\INSTALL_VISTAS.sql", "MS SQL", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\05_VISTAS\OBJECTS\INSTALL.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\06_FUNCIONES\INSTALL_FUNCIONES.sql", "MS SQL", 0, 0, 1, 0, 0, 0, 0, 0, 1, 5, 7
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\06_FUNCIONES\OBJECTS\INSTALL.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\07_DATOS\INSTALL_DATOS.sql", "MS SQL", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos\PARCHE_V.01.00.000\07_DATOS\OBJECTS\INSTALL.sql", "MS SQL", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
