Date : 2025-05-22 11:48:45
Directory : d:\DOCUMENTOS\qualityapp_msv\02_BaseDatos
Total : 70 files,  542 codes, 422 comments, 336 blanks, all 1300 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| MS SQL   |         67 |        468 |        409 |        324 |      1,201 |
| Batch    |          1 |         48 |         13 |          5 |         66 |
| Markdown |          2 |         26 |          0 |          7 |         33 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                           |         70 |        542 |        422 |        336 |      1,300 |
| . (Files)                                                                                                   |          1 |         48 |         13 |          5 |         66 |
| DATABASE_SCHEMA                                                                                             |          8 |         49 |         40 |         44 |        133 |
| DATABASE_SCHEMA (Files)                                                                                     |          4 |         21 |          8 |         13 |         42 |
| DATABASE_SCHEMA\00_SCHEMA                                                                                   |          4 |         28 |         32 |         31 |         91 |
| PARCHE_V.01.00.000                                                                                          |         61 |        445 |        369 |        287 |      1,101 |
| PARCHE_V.01.00.000 (Files)                                                                                  |          6 |         48 |         10 |         23 |         81 |
| PARCHE_V.01.00.000\01_SECUENCIAS                                                                            |          2 |          1 |          4 |          4 |          9 |
| PARCHE_V.01.00.000\01_SECUENCIAS (Files)                                                                    |          1 |          1 |          4 |          2 |          7 |
| PARCHE_V.01.00.000\01_SECUENCIAS\OBJECTS                                                                    |          1 |          0 |          0 |          2 |          2 |
| PARCHE_V.01.00.000\02_TABLAS                                                                                |         12 |        277 |        111 |        158 |        546 |
| PARCHE_V.01.00.000\02_TABLAS (Files)                                                                        |          1 |          1 |          1 |          1 |          3 |
| PARCHE_V.01.00.000\02_TABLAS\OBJECTS                                                                        |         11 |        276 |        110 |        157 |        543 |
| PARCHE_V.01.00.000\03_ALTERS                                                                                |          2 |          1 |          2 |          1 |          4 |
| PARCHE_V.01.00.000\03_ALTERS (Files)                                                                        |          1 |          1 |          1 |          0 |          2 |
| PARCHE_V.01.00.000\03_ALTERS\OBJECTS                                                                        |          1 |          0 |          1 |          1 |          2 |
| PARCHE_V.01.00.000\03_CONSTRAINTS                                                                           |          2 |          1 |          1 |          4 |          6 |
| PARCHE_V.01.00.000\03_CONSTRAINTS (Files)                                                                   |          1 |          1 |          0 |          2 |          3 |
| PARCHE_V.01.00.000\03_CONSTRAINTS\OBJECTS                                                                   |          1 |          0 |          1 |          2 |          3 |
| PARCHE_V.01.00.000\03_FOREIGN_KEY                                                                           |          8 |         33 |         60 |         52 |        145 |
| PARCHE_V.01.00.000\03_FOREIGN_KEY (Files)                                                                   |          1 |          1 |          0 |          2 |          3 |
| PARCHE_V.01.00.000\03_FOREIGN_KEY\OBJECTS                                                                   |          7 |         32 |         60 |         50 |        142 |
| PARCHE_V.01.00.000\03_PRIMARY_KEY                                                                           |         12 |         31 |        130 |         25 |        186 |
| PARCHE_V.01.00.000\03_PRIMARY_KEY (Files)                                                                   |          1 |          1 |          0 |          2 |          3 |
| PARCHE_V.01.00.000\03_PRIMARY_KEY\OBJECTS                                                                   |         11 |         30 |        130 |         23 |        183 |
| PARCHE_V.01.00.000\04_TIPOS                                                                                 |          2 |          1 |          1 |          3 |          5 |
| PARCHE_V.01.00.000\04_TIPOS (Files)                                                                         |          1 |          1 |          1 |          1 |          3 |
| PARCHE_V.01.00.000\04_TIPOS\OBJECTS                                                                         |          1 |          0 |          0 |          2 |          2 |
| PARCHE_V.01.00.000\05_VISTAS                                                                                |          2 |          1 |          2 |          1 |          4 |
| PARCHE_V.01.00.000\05_VISTAS (Files)                                                                        |          1 |          1 |          1 |          1 |          3 |
| PARCHE_V.01.00.000\05_VISTAS\OBJECTS                                                                        |          1 |          0 |          1 |          0 |          1 |
